"","Year","Month","Census.FIPS","FIPS.county","FIPS.state","ProjectTitle","Address","City","State","Zipcode","County","Type","Ownership","Strys","SqFt","Value1000","Dwellings","sizegroup"
"1","2009","08","16001",1,16,"Commercial Building (TI)","960 Broadway Ave Ste 500","Boise","ID","83706","ADA, ID","Offices_1-3_stories","private",0,0,530,0,"Small"
"2","2008","04","16001",1,16,"Boise Plaza Parking Garage (NEGOTIATED)","Nr. 1111 W Jefferson","Boise","ID","83702","ADA, ID","Parking_Garages","private",8,1e+05,5900,0,"Large"
"3","2008","02","16001",1,16,"Sycamore Park Restroom & Playground Addition","4755 E Braddock Drive","Boise","ID","83714","ADA, ID","Miscellaneous_Amusement_Recreational","county",1,800,85,0,"Small"
"4","2009","03","16001",1,16,"Nail Salon (Alteration)","3223 E Louise Dr Ste 107","Meridian","ID","83642","ADA, ID","Stores","private",0,0,81,0,"Small"
"5","2008","08","16001",1,16,"ICC 300 Bed Close Custody Expansion Unit (DESIGN/BUILD)","14601 S Pleasant Valley Rd","Kuna","ID","83634","ADA, ID","Detention_Facilities","state",2,50000,8400,0,"Medium"
"6","2009","08","16001",1,16,"Heroes Park Phase III Improvements","3064 West Malta","Meridian","ID","83642","ADA, ID","Miscellaneous_Amusement_Recreational","county",0,0,1054,0,"Small"
"7","2009","12","16001",1,16,"Furniture Row - Interior Remodel (Boise, Id)","101 N Cole Rd","Boise","ID","83704","ADA, ID","Shopping_Centers","private",0,0,296,0,"Small"
"8","2008","05","16001",1,16,"Ramsey Ellis Office Building (Bldg 1)","7940 Horseshoe Bend Rd","Boise","ID","83714","ADA, ID","Offices_1-3_stories","private",1,10000,450,0,"Small"
"9","2008","04","16001",1,16,"Restaurant (Alteration)","3450 N Eagle Rd Ste 101","Meridian","ID","83642","ADA, ID","Food_Beverage_Service","private",0,0,167,0,"Small"
"10","2008","11","16001",1,16,"Garage","1130 N Allumbaugh St","Boise","ID","83704","ADA, ID","Auto_Service","private",1,1400,93,0,"Small"
