State_name,State_abb,FIPS.state,AreaName,County,Region,Division,FIPS.county,LandSQMI,AreaSQMI,Pop100,HU100,IntPtLat,IntPtLon,doe_climate_zone,doe_moisture_regime,is_warm_humid,merged,FIPS.long
Alabama,AL,1,DeKalb County,DeKalb AL,3,6,49,777.91,778.65,64452,28051,34.459133,-85.798919,3,moist,f,dekalb al,1049
Alabama,AL,1,Marshall County,Marshall AL,3,6,95,567.06,623.16,82231,36331,34.329598,-86.288884,3,moist,f,marshall al,1095
Alabama,AL,1,Baldwin County,Baldwin AL,3,6,3,1596.35,2026.93,140415,74285,30.592781,-87.74826,2,moist,t,baldwin al,1003
Alabama,AL,1,Fayette County,Fayette AL,3,6,57,627.66,629.34,18495,8472,33.747077,-87.751725,3,moist,f,fayette al,1057
Alabama,AL,1,Cherokee County,Cherokee AL,3,6,19,553.12,599.95,23988,14025,34.184158,-85.62193,3,moist,f,cherokee al,1019
Alabama,AL,1,Crenshaw County,Crenshaw AL,3,6,41,609.58,610.88,13665,6644,31.710365,-86.289299,3,moist,t,crenshaw al,1041
Alabama,AL,1,Randolph County,Randolph AL,3,6,111,581.05,584.11,22380,10285,33.262424,-85.445563,3,moist,f,randolph al,1111
Alabama,AL,1,Henry County,Henry AL,3,6,67,561.8,568.33,16310,8037,31.493511,-85.25376,3,moist,t,henry al,1067
Alabama,AL,1,Talladega County,Talladega AL,3,6,121,739.53,760.25,80321,34469,33.368498,-86.178278,3,moist,f,talladega al,1121
Alabama,AL,1,Lee County,Lee AL,3,6,81,608.71,615.55,115092,50329,32.607485,-85.328947,3,moist,f,lee al,1081
Alabama,AL,1,Dallas County,Dallas AL,3,6,47,980.71,993.37,46365,20450,32.379942,-87.065563,3,moist,t,dallas al,1047
Alabama,AL,1,Greene County,Greene AL,3,6,63,645.87,659.93,9974,5117,32.837254,-87.950852,3,moist,f,greene al,1063
Alabama,AL,1,Conecuh County,Conecuh AL,3,6,35,850.79,852.51,14089,7265,31.415613,-87.002108,3,moist,t,conecuh al,1035
Alabama,AL,1,Bibb County,Bibb AL,3,6,7,623.03,626.16,20826,8345,33.040054,-87.123243,3,moist,f,bibb al,1007
Alabama,AL,1,Butler County,Butler AL,3,6,13,776.87,777.92,21399,9957,31.735884,-86.662232,3,moist,t,butler al,1013
Alabama,AL,1,Choctaw County,Choctaw AL,3,6,23,913.51,920.85,15922,7839,32.027681,-88.257855,3,moist,t,choctaw al,1023
Alabama,AL,1,Lamar County,Lamar AL,3,6,75,604.85,605.47,15904,7517,33.772995,-88.084702,3,moist,f,lamar al,1075
Alabama,AL,1,Houston County,Houston AL,3,6,69,580.36,581.65,88787,39571,31.189731,-85.350387,3,moist,t,houston al,1069
Alabama,AL,1,Clarke County,Clarke AL,3,6,25,1238.38,1252.51,27867,12631,31.688155,-87.834164,3,moist,t,clarke al,1025
Alabama,AL,1,Franklin County,Franklin AL,3,6,59,635.64,646.51,31223,13749,34.465405,-87.832638,3,moist,f,franklin al,1059
Alabama,AL,1,Pickens County,Pickens AL,3,6,107,881.42,890.05,20949,9520,33.27409,-88.088963,3,moist,f,pickens al,1107
Alabama,AL,1,Sumter County,Sumter AL,3,6,119,904.94,913.3,14798,6953,32.558734,-88.215706,3,moist,f,sumter al,1119
Alabama,AL,1,Etowah County,Etowah AL,3,6,55,534.82,548.75,103459,45959,34.018597,-86.032125,3,moist,f,etowah al,1055
Alabama,AL,1,Coffee County,Coffee AL,3,6,31,678.99,680.48,43615,19837,31.378987,-85.956841,3,moist,t,coffee al,1031
Alabama,AL,1,Winston County,Winston AL,3,6,133,614.44,631.86,24843,12502,34.151249,-87.418848,3,moist,f,winston al,1133
Alabama,AL,1,Walker County,Walker AL,3,6,127,794.39,805.3,70713,32417,33.819888,-87.285406,3,moist,f,walker al,1127
Alabama,AL,1,Hale County,Hale AL,3,6,65,643.74,656.47,17185,7756,32.768094,-87.635687,3,moist,f,hale al,1065
